Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
3 1 0 7 (feat. Duongg & Nâu),"W/N, Duongg, Nâu",3 1 0 7 (feat. Duongg & Nâu),35lcJMXPJ00gMqMdKo7iFK,5uyNAX6MazVAjBjVeOsTvp,59,2020-05-11,232258,False,https://open.spotify.com/track/5uyNAX6MazVAjBjVeOsTvp,0.794,0.464,11,-7.654,1,0.0589,0.847,4.11e-06,0.181,0.479,123.942
Khi Em Lớn,"Orange, Hoàng Dũng",Khi Em Lớn,5k4b9vDNNCIB0k1703mPrU,5nD5PVXUkIpv0WcwfNFrgS,59,2021-04-20,228095,False,https://open.spotify.com/track/5nD5PVXUkIpv0WcwfNFrgS,0.593,0.263,7,-12.102,0,0.0384,0.918,1.04e-06,0.104,0.466,119.645
Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies),"Emcee L (Da LAB), Da LAB, Badbies",Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies),5vJ5JDNypTPlAc5yv3du8s,5BTzf3doGTigDIYUFtbkI9,63,2020-12-29,234168,False,https://open.spotify.com/track/5BTzf3doGTigDIYUFtbkI9,0.494,0.395,6,-8.653,1,0.0301,0.887,1.43e-05,0.058,0.179,141.464
Mơ,Vũ Cát Tường,Mơ,57xAPI8kl43QolYkjfVdb2,2a5hng9yXtbjtTVVm9UviC,58,2016-01-01,262191,False,https://open.spotify.com/track/2a5hng9yXtbjtTVVm9UviC,0.556,0.413,9,-7.261,1,0.0791,0.908,3.38e-06,0.0924,0.191,113.086
Bật Nhạc Lên,"HIEUTHUHAI, Harmonie",Bật Nhạc Lên,0YuGAT79ULNpdxzxWVXHFH,0hiQvlWSSTr7n1kc1X2Lus,57,2020-06-12,200000,False,https://open.spotify.com/track/0hiQvlWSSTr7n1kc1X2Lus,0.726,0.619,11,-7.543,0,0.317,0.42,2.61e-05,0.268,0.384,89.23
Em Không Khóc (feat. Vũ Phụng Tiên),"buitruonglinh, Vũ Phụng Tiên",Em Không Khóc (feat. Vũ Phụng Tiên),5jDIXIxWf5W0uqPUuoKxZU,4N99EuIjwSSFFFMDfTeOLU,59,2022-03-28,269624,False,https://open.spotify.com/track/4N99EuIjwSSFFFMDfTeOLU,0.762,0.356,0,-15.763,1,0.361,0.873,1e-05,0.187,0.571,80.946
tình yêu chậm trễ,"MONSTAR, GREY D",Over The Moon,4bC0p7T5Wy2kqCuQ0uK4D7,6jcLKVmEKAQIXIVHJZ8vzS,60,2021-08-01,245333,False,https://open.spotify.com/track/6jcLKVmEKAQIXIVHJZ8vzS,0.372,0.335,9,-6.663,1,0.0286,0.869,0.0,0.114,0.387,179.56
Anh Đã Ổn Hơn,RPT MCK,99%,1vi1WySkgPGkbR8NnQzlXu,3YctJXK6kznnWl68TnYobN,63,2023-03-02,194006,False,https://open.spotify.com/track/3YctJXK6kznnWl68TnYobN,0.703,0.28,3,-9.56,1,0.0293,0.726,0.000282,0.118,0.338,141.892
"Anh Là Ai? (feat. Dick, DT & UMIE)","RAP VIỆT, Dick, DT Tập Rap, UMIE",Rap Việt Mùa 3 - Vòng 2,4YSxnHCean6ZAsYwB1V9nW,6HpkHTTwfVmSoopeloHqOp,49,2023-08-09,223784,False,https://open.spotify.com/track/6HpkHTTwfVmSoopeloHqOp,0.739,0.647,5,-8.563,1,0.244,0.125,0.0,0.285,0.634,147.896
Ánh Sao Và Bầu Trời,T.R.I,Ánh Sao Và Bầu Trời,1JLUfM3IFpFyBSyhNQWkYw,5iZHnufFUgATzrpGgH1K0W,62,2021-09-10,260571,False,https://open.spotify.com/track/5iZHnufFUgATzrpGgH1K0W,0.662,0.205,5,-14.005,0,0.0349,0.876,0.00354,0.109,0.268,139.911
Không Yêu Xin Đừng Nói - Piano Version,UMIE,Không Yêu Xin Đừng Nói (Piano Version),49dKGvpp3ix58fS46uVqOQ,0vkExWiBJSrfWnlMC7x48b,61,2022-01-22,244219,False,https://open.spotify.com/track/0vkExWiBJSrfWnlMC7x48b,0.699,0.375,11,-12.02,1,0.0384,0.773,0.000152,0.104,0.27,144.016
NOLOVENOLIFE,HIEUTHUHAI,Ai Cũng Phải Bắt Đầu Từ Đâu Đó,4faMbTZifuYsBllYHZsFKJ,6D94p9ASguBcYlDC0o56vx,61,2023-10-16,170898,False,https://open.spotify.com/track/6D94p9ASguBcYlDC0o56vx,0.812,0.703,4,-4.499,1,0.148,0.358,0.0,0.105,0.554,138.019
nhắn nhủ,Ronboogz,nhắn nhủ,5KNYrzFkKcSl7wzRYRuFjE,2uZmeuNAxSm7XfVIwLkhCx,64,2023-12-12,241190,False,https://open.spotify.com/track/2uZmeuNAxSm7XfVIwLkhCx,0.762,0.295,7,-9.745,1,0.035,0.954,0.00157,0.164,0.284,129.962
Lan Man,Ronboogz,Lan Man,2PjMmcp2KpR1dwcs0oExSx,3hqOrxH5qPlvrApcb7Ac8c,61,2023-03-25,216220,False,https://open.spotify.com/track/3hqOrxH5qPlvrApcb7Ac8c,0.786,0.358,5,-10.913,1,0.0379,0.875,0.000361,0.0718,0.204,120.0
Đã Lỡ Yêu Em Nhiều,JustaTee,Đã Lỡ Yêu Em Nhiều,2iJcC4EmfOE36Z2gS5OiSp,3J3nv18iIrOhca1ZWNeuyW,56,2022-07-11,261105,False,https://open.spotify.com/track/3J3nv18iIrOhca1ZWNeuyW,0.546,0.431,5,-9.566,1,0.0383,0.76,0.0,0.108,0.484,79.958
Dù Cho Mai Về Sau,buitruonglinh,Dù Cho Mai Về Sau,38rXnQ4McNlZGTA3WNPNc1,4Iz5EWPCAT8jYNk4IpLoll,57,2020-11-17,233976,False,https://open.spotify.com/track/4Iz5EWPCAT8jYNk4IpLoll,0.632,0.579,11,-8.352,1,0.0602,0.187,1.93e-06,0.101,0.503,155.984
Nước Mắt Em Lau Bằng Tình Yêu Mới,"Da LAB, Tóc Tiên",Nước Mắt Em Lau Bằng Tình Yêu Mới,3bUGXDqhdLNsxQrETRlTF1,40fjFtLBN98eDzOS4NfXs5,58,2019-09-12,285742,False,https://open.spotify.com/track/40fjFtLBN98eDzOS4NfXs5,0.649,0.624,7,-5.53,1,0.0539,0.704,0.0,0.0774,0.221,94.863
trời giấu trời mang đi,AMEE,dreAMEE,4tHnhcKAaAaD83UfrTvUPt,1ecVks3GJX8U67DvhVDVBn,59,2020-06-28,253500,False,https://open.spotify.com/track/1ecVks3GJX8U67DvhVDVBn,0.438,0.408,3,-9.857,1,0.0705,0.688,0.0,0.121,0.373,92.053
Chuyện Rằng,Thịnh Suy,Chuyện Rằng,5luCD1OBB8iHHhaSaOLHGz,7oBUoEbCDF748UkHnLusUB,57,2020-08-08,272152,False,https://open.spotify.com/track/7oBUoEbCDF748UkHnLusUB,0.811,0.276,7,-14.892,1,0.042,0.785,2.83e-06,0.128,0.704,95.021
Trước Khi Em Tồn Tại,Thắng,Cái Đầu Tiên,5jDZKqgoVRbob6A3omYTG5,1yo967mk7CpjvruNxBecOY,59,2023-04-30,194183,False,https://open.spotify.com/track/1yo967mk7CpjvruNxBecOY,0.673,0.671,10,-9.011,1,0.0405,0.357,0.000626,0.309,0.796,124.985
Thôi Em Đừng Đi,"RPT MCK, Trung Trần",99%,1vi1WySkgPGkbR8NnQzlXu,7kpNUrBDYDoX6QKGzrBD1R,60,2023-03-02,173397,False,https://open.spotify.com/track/7kpNUrBDYDoX6QKGzrBD1R,0.809,0.626,9,-7.531,0,0.0467,0.111,0.0,0.112,0.718,141.981
24h,Lyly,24h,4LO3n3uH8Iu6xi09nh2u9i,4inMQ83GNpQ2OHDredH5hW,53,2020-10-28,257000,False,https://open.spotify.com/track/4inMQ83GNpQ2OHDredH5hW,0.763,0.619,8,-8.427,1,0.072,0.526,4.81e-05,0.102,0.117,119.985
ngủ một mình (tình rất tình),"HIEUTHUHAI, Negav, Kewtiie",ngủ một mình (tình rất tình),4SXB0iMxy8oifrnpMwadwN,65aTHDZWUdh6WIafu9MtNF,61,2022-12-15,192000,False,https://open.spotify.com/track/65aTHDZWUdh6WIafu9MtNF,0.783,0.476,0,-8.096,0,0.0293,0.181,0.0,0.0892,0.533,100.017
Bước Qua Mùa Cô Đơn,Vũ.,Một Vạn Năm,4nfpHvg7KFcAUTg6yajpvN,6uxuJ8Fr1AAfSPJUF9N1yr,55,2022-09-09,278824,False,https://open.spotify.com/track/6uxuJ8Fr1AAfSPJUF9N1yr,0.48,0.353,1,-8.391,1,0.0319,0.689,0.000186,0.156,0.319,135.824
Exit Sign,"HIEUTHUHAI, marzuz",Ai Cũng Phải Bắt Đầu Từ Đâu Đó,4faMbTZifuYsBllYHZsFKJ,4nXrVH5xwN1w6TpmP7uu8n,63,2023-10-16,201590,False,https://open.spotify.com/track/4nXrVH5xwN1w6TpmP7uu8n,0.483,0.599,2,-7.564,1,0.39,0.848,2.01e-05,0.153,0.175,75.375
Simple Love,"Obito, Seachains",Simple Love,3KMcT9jstxWPWnm7NBipJO,5AaHvf9iO6RydAIissh0kz,57,2022-11-29,213760,False,https://open.spotify.com/track/5AaHvf9iO6RydAIissh0kz,0.96,0.557,6,-9.617,0,0.109,0.175,0.0,0.664,0.651,129.98
Âm Thầm Bên Em,Sơn Tùng M-TP,m-tp M-TP,1ni6VX3ddp9VIFRkJOlRkL,0tWqngfOXKN1xOlYK4WwVw,58,2017-04-01,293112,False,https://open.spotify.com/track/0tWqngfOXKN1xOlYK4WwVw,0.5,0.462,10,-9.153,1,0.0273,0.883,0.00349,0.128,0.107,140.075
Sau Cơn Mưa,"CoolKid, RHYDER",Sau Cơn Mưa,06QN41i8CfDkgUy2HP1kZ2,4fj4Jn4nw8fGX8xdbCntJf,65,2023-07-28,154756,False,https://open.spotify.com/track/4fj4Jn4nw8fGX8xdbCntJf,0.69,0.3,6,-9.204,1,0.039,0.769,1.69e-06,0.123,0.646,81.983
Chàng Trai Bất Tử,"An Vũ, Sino",Chàng Trai Bất Tử,5lFQA0FkLiuI3aCvvaRLN6,18iADruKMXIloyA9vCJXFE,60,2024-01-11,232994,False,https://open.spotify.com/track/18iADruKMXIloyA9vCJXFE,0.506,0.159,4,-14.962,1,0.0361,0.892,0.0259,0.1,0.39,129.764
XTC (Xích Thêm Chút) (Remix),"Rapital, Groovie Lã Thắng, tlinh, RPT MCK",Rapitalove,3ULu7EK5sl1zUdx2r7D15E,7fNHfgOxPLcg4mQLhCnOHB,57,2021-06-21,243750,False,https://open.spotify.com/track/7fNHfgOxPLcg4mQLhCnOHB,0.704,0.507,5,-7.111,1,0.0378,0.325,0.0,0.168,0.273,127.945
Anh Đã Quen Với Cô Đơn,SOOBIN,Anh Đã Quen Với Cô Đơn,7aHVJrs5irhNvKt12Z0d0P,39KWnPNEvbXt423CzjvBfA,54,2017-03-14,268179,False,https://open.spotify.com/track/39KWnPNEvbXt423CzjvBfA,0.768,0.318,5,-11.193,1,0.0355,0.8,0.00268,0.14,0.259,114.973
Tháng Tư Là Lời Nói Dối Của Em,Hà Anh Tuấn,Fragile,3PqBYrAmvHfO0eVmqMSrcB,53zusvCJkyGYjEZ6bnLIjh,58,2021-06-01,310067,False,https://open.spotify.com/track/53zusvCJkyGYjEZ6bnLIjh,0.427,0.417,9,-7.379,0,0.0358,0.592,0.0,0.18,0.304,133.792
Nơi Này Có Anh,Sơn Tùng M-TP,m-tp M-TP,1ni6VX3ddp9VIFRkJOlRkL,6QqLjFssCtiZWKET97Qv3n,57,2017-04-01,260117,False,https://open.spotify.com/track/6QqLjFssCtiZWKET97Qv3n,0.52,0.853,0,-5.249,1,0.0304,0.0451,0.000959,0.144,0.328,91.993
Xin Đừng Nhấc Máy,"B Ray, Han Sara, Masew",Xin Đừng Nhấc Máy,7Jzha1P8JmEFO0oyr3SbB8,4Rbnxa7kFSpCHNPJ3uZhtR,56,2021-04-01,187454,False,https://open.spotify.com/track/4Rbnxa7kFSpCHNPJ3uZhtR,0.873,0.755,7,-4.506,1,0.14,0.293,0.0,0.0881,0.773,94.017
24h,Lyly,24h,4LO3n3uH8Iu6xi09nh2u9i,4inMQ83GNpQ2OHDredH5hW,53,2020-10-28,257000,False,https://open.spotify.com/track/4inMQ83GNpQ2OHDredH5hW,0.763,0.619,8,-8.427,1,0.072,0.526,4.81e-05,0.102,0.117,119.985
Đường Tôi Chở Em Về,buitruonglinh,Đường Tôi Chở Em Về,11usBN9oLbxkDegtx4ilUW,27F22WcGDyl4Z2KylVJkXL,55,2020-07-03,266000,False,https://open.spotify.com/track/27F22WcGDyl4Z2KylVJkXL,0.659,0.216,7,-16.081,1,0.0303,0.455,4.64e-06,0.092,0.174,94.004
Mặt Mộc,"Phạm Nguyên Ngọc, VAnh, Ân Nhi, BMZ",Mặt Mộc,5Af8YESOWf6nK6BcLh3hkA,3dvkpe9FEekxxgaQtxOHQI,54,2022-08-05,214293,False,https://open.spotify.com/track/3dvkpe9FEekxxgaQtxOHQI,0.599,0.727,4,-4.894,1,0.0783,0.668,2.58e-05,0.102,0.697,167.979
Muốn Nói Với Em,T Team,Muốn Nói Với Em,1D5q4yg90UnV6e4sMRuLzz,5Um995yUx3GSJ6uNOMaaP4,53,2020-06-06,233514,False,https://open.spotify.com/track/5Um995yUx3GSJ6uNOMaaP4,0.564,0.592,0,-9.458,1,0.0449,0.525,0.0199,0.102,0.427,147.941
dự báo thời tiết hôm nay mưa,GREY D,dự báo thời tiết hôm nay mưa - Maxi Single,1hJ4ByH5DIbywauU2koZDT,65cM1nyMf9pFDZVV8xmPX9,60,2022-11-22,281494,False,https://open.spotify.com/track/65cM1nyMf9pFDZVV8xmPX9,0.581,0.559,5,-10.413,1,0.0428,0.626,0.000172,0.093,0.257,76.987
Nến Và Hoa,Rhymastic,Nến Và Hoa,6E4LzmxAeQPB3wmuMyucNE,4S0uLMXRoAjFfIJOW7A8aW,58,2018-08-19,166000,False,https://open.spotify.com/track/4S0uLMXRoAjFfIJOW7A8aW,0.787,0.652,5,-6.781,0,0.0655,0.239,8.3e-05,0.102,0.394,120.033
Từng Là,Vũ Cát Tường,Từng Là,65MihXBPwne3POZrzkrrYv,2xOhv7XudrBDtkID1jwsFE,69,2024-03-01,252500,False,https://open.spotify.com/track/2xOhv7XudrBDtkID1jwsFE,0.808,0.414,5,-10.95,1,0.038,0.864,0.000118,0.174,0.609,115.041
Magnetic,ILLIT,SUPER REAL ME,6irebIc6UO8fN0jl4UlzBS,1aKvZDoLGkNMxoRYgkckZG,93,2024-03-25,160688,False,https://open.spotify.com/track/1aKvZDoLGkNMxoRYgkckZG,0.797,0.668,6,-5.819,1,0.0687,0.257,0.0,0.0876,0.69,131.067
Anh Nhớ Ra (feat. TRANG),"Vũ., TRANG",Một Vạn Năm,4nfpHvg7KFcAUTg6yajpvN,7eDrdQ7PK9Xm1CZCKWsgmH,56,2022-09-09,276500,False,https://open.spotify.com/track/7eDrdQ7PK9Xm1CZCKWsgmH,0.559,0.465,10,-6.219,1,0.0241,0.524,1.07e-06,0.12,0.324,79.961
Thắc Mắc?,Thịnh Suy,Thắc Mắc?,7bZW1PQzj8KyKa2emDrtCB,7paCdW3grnoEi95tjO1OkG,58,2019,205567,False,https://open.spotify.com/track/7paCdW3grnoEi95tjO1OkG,0.612,0.463,2,-9.185,1,0.0765,0.663,2.44e-05,0.638,0.642,143.981
Nụ hôn Bisou,Lãng,Nụ hôn Bisou,1oMX4OfwGJgQj7KCBETcll,4TMdpMJNQdcawl8JjZEwLk,58,2022-10-28,156825,False,https://open.spotify.com/track/4TMdpMJNQdcawl8JjZEwLk,0.81,0.459,6,-9.299,0,0.0653,0.678,0.0,0.131,0.401,124.058
Thích Quá Rùi Nà,"tlinh, Trung Trần",Thích Quá Rùi Nà,3EJFGb9JNfZq2AlyF9Y96Z,4qJSUFwZFouto5VZUlln75,62,2023-07-14,178000,False,https://open.spotify.com/track/4qJSUFwZFouto5VZUlln75,0.766,0.511,7,-7.47,1,0.0842,0.536,0.0,0.111,0.609,104.944
Một Bước Yêu Vạn Dặm Đau,Mr.Siro,Một Bước Yêu Vạn Dặm Đau,3JCjsTuQGzPYKyTDoWgwP3,1u3aGopt09bxmUDs8c94XY,55,2019-03-14,298914,False,https://open.spotify.com/track/1u3aGopt09bxmUDs8c94XY,0.444,0.421,10,-7.656,0,0.0278,0.798,0.0,0.0956,0.33,137.608
Chìm Sâu,"RPT MCK, Trung Trần",99%,1vi1WySkgPGkbR8NnQzlXu,7jLSThU5Kg1RWt19Leiaxm,62,2023-03-02,156304,True,https://open.spotify.com/track/7jLSThU5Kg1RWt19Leiaxm,0.598,0.489,11,-8.884,0,0.0486,0.587,0.0,0.119,0.502,204.179
bao tiền một mớ bình yên?,"14 Casper, Bon Nghiêm",SỐ KHÔNG,2W8HAPjn7tl7pHXGZ8WZIe,7kgzRBNkBRArtTPkYjWLYT,57,2023-03-03,300000,False,https://open.spotify.com/track/7kgzRBNkBRArtTPkYjWLYT,0.429,0.364,7,-10.006,1,0.0547,0.455,0.0,0.0907,0.0857,173.63
Em Là,"MONO, Onionn.",22,40Z8f0FLhVboUdBqnlHiJp,6GxdtMg7DdomU79EodUpfk,54,2022-08-18,197333,False,https://open.spotify.com/track/6GxdtMg7DdomU79EodUpfk,0.634,0.7,5,-6.413,0,0.11,0.213,0.000744,0.0928,0.29,180.019
Chờ Đợi Có Đáng Sợ,Andiez,Chờ Đợi Có Đáng Sợ,5aoGeA25QuLumgivwYZ29b,4h3K653rm69JYWpO4du2BJ,58,2020-07-20,282667,False,https://open.spotify.com/track/4h3K653rm69JYWpO4du2BJ,0.492,0.355,1,-9.158,1,0.0304,0.854,1.84e-06,0.125,0.34,125.478
Ngồi Nhìn Em Khóc,Sáo,Ngồi Nhìn Em Khóc,6PGxduB6egFofmLZMt5WsP,1wvLeW8THXNent0N2sGSgF,55,2023-04-24,273231,False,https://open.spotify.com/track/1wvLeW8THXNent0N2sGSgF,0.748,0.43,7,-12.573,1,0.0304,0.859,0.0192,0.0914,0.678,130.025
